# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Thu Jan 15 17:15:18 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.01471 0.00000 9.69897 0.8000000119 2.4187244405    0.800 -0.491  3.7027  4.594    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.28e-14      0.00 7.315e-01 2.547e-01 2.448e-03 6.688e-04 6.078e-03 -1.000 1.384e-02 5.997 7.981 7.189 6.271 5.689 5.258 4.652 4.161 4.092
0.01471 0.00000 9.69897 0.8040416241 2.4201297140    0.804 -0.479  3.7044  4.592    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.35e-14      0.00 7.317e-01 2.544e-01 2.446e-03 6.683e-04 6.073e-03 -1.000 1.383e-02 5.968 7.920 7.145 6.233 5.657 5.229 4.629 4.143 4.074
0.01471 0.00000 9.69897 0.8417391181 2.4324932861    0.841 -0.373  3.7197  4.567    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.01e-14      0.00 7.339e-01 2.524e-01 2.429e-03 6.638e-04 6.032e-03 -1.000 1.374e-02 5.703 7.365 6.745 5.896 5.370 4.970 4.420 3.977 3.915
0.01471 0.00000 9.69897 0.8500000238 2.4350346840    0.849 -0.350  3.7230  4.561    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.18e-14      0.00 7.343e-01 2.519e-01 2.425e-03 6.628e-04 6.024e-03 -1.000 1.372e-02 5.645 7.251 6.663 5.826 5.310 4.915 4.375 3.940 3.879
0.01471 0.00000 9.69897 0.8577783704 2.4373762420    0.857 -0.329  3.7259  4.555    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.35e-14      0.00 7.349e-01 2.514e-01 2.421e-03 6.616e-04 6.013e-03 -1.000 1.369e-02 5.592 7.147 6.588 5.761 5.253 4.862 4.331 3.905 3.845
0.01471 0.00000 9.69897 0.8906763792 2.4467617491    0.890 -0.238  3.7378  4.528    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.18e-14      0.00 7.373e-01 2.492e-01 2.402e-03 6.565e-04 5.968e-03 -1.000 1.354e-02 5.365 6.719 6.271 5.491 5.017 4.646 4.152 3.757 3.701
0.01471 0.00000 9.69897 0.8999999762 2.4492786016    0.899 -0.213  3.7411  4.521    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.45e-14      0.00 7.380e-01 2.485e-01 2.396e-03 6.550e-04 5.954e-03 -1.000 1.352e-02 5.301 6.600 6.183 5.417 4.952 4.587 4.102 3.715 3.661
0.01471 0.00000 9.69897 0.9001045823 2.4493064995    0.899 -0.212  3.7411  4.521    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.45e-14      0.00 7.380e-01 2.485e-01 2.396e-03 6.550e-04 5.954e-03 -1.000 1.352e-02 5.301 6.599 6.182 5.416 4.951 4.586 4.102 3.715 3.661
0.01471 0.00000 9.69897 0.9188413024 2.4541858845    0.918 -0.161  3.7472  4.503    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -5.06e-14      0.00 7.397e-01 2.469e-01 2.382e-03 6.513e-04 5.921e-03 -1.000 1.345e-02 5.172 6.360 6.009 5.270 4.823 4.468 4.001 3.628 3.577
0.01471 0.00000 9.69897 0.9364040494 2.4585562453    0.936 -0.113  3.7528  4.485    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -5.72e-14      0.00 7.413e-01 2.453e-01 2.369e-03 6.478e-04 5.889e-03 -1.000 1.339e-02 5.052 6.148 5.852 5.135 4.704 4.357 3.906 3.545 3.498
