hostname,mass_msun,age_gyr,feh,chi2,n_bands,dist_pc,st_met_in,age_flag,chi2_flag,reliable
TOI-2714,1.0273,9.1996,0.4367,260.8926,10,601.18,0.3,ok,high,False
HATS-61,1.0545,10.0,0.3061,207.0852,10,675.01,0.247,upper_boundary,high,False
TOI-2373,1.0,9.1996,0.4367,186.5061,10,492.95,0.3,ok,high,False
TOI-954,1.1909,6.0619,0.3061,0.763,10,238.12,0.215,ok,ok,True
TOI-2580,1.1636,6.5893,0.2082,59.5639,10,372.79,0.26,ok,high,False
WASP-120,1.2727,3.3805,-0.1184,11.8895,10,380.24,-0.05,ok,high,False
K2-29,0.8909,0.0316,0.2735,193.4288,10,176.74,0.16,lower_boundary,high,False
TOI-5344,0.5909,0.0792,0.3061,95.1589,10,136.09,0.425,ok,high,False
K2-25,0.2909,0.1982,0.1429,60.5536,10,44.62,0.15,ok,high,False
WASP-126,1.0,10.0,0.3388,18.0564,10,216.95,0.2068,upper_boundary,high,False
WASP-78,1.1091,5.5767,-0.3143,121.2749,10,708.75,-0.35,ok,high,False
LP 890-9,0.1273,0.3008,-0.151,2.969,6,32.28,-0.028,ok,ok,True
TOI-444,0.8636,0.4962,0.0776,1.2475,10,57.39,0.08,ok,ok,True
LP 714-47,0.6182,0.1306,0.2735,0.5233,10,52.3,0.41,ok,ok,True
HD 28109,1.2182,3.11,0.1102,0.5073,10,140.09,0.1,ok,ok,True
TOI-1696,0.2909,0.2546,0.2082,107.6423,10,64.43,0.336,ok,high,False
XO-3,1.1909,3.11,-0.3143,0.4885,10,204.12,-0.18,ok,ok,True
K2-155,0.5364,0.0861,-0.3469,19.6658,10,72.89,-0.3,ok,high,False
K2-87,0.9455,10.0,0.4694,607.1546,10,488.52,0.328,upper_boundary,high,False
HAT-P-15,0.9727,0.0316,0.3061,84.8146,10,191.46,0.22,lower_boundary,high,False
WASP-79,1.3818,1.7343,0.1102,3.4764,10,244.7,0.03,ok,ok,True
HATS-5,0.8909,8.4632,0.3388,72.16,10,245.92,0.19,ok,high,False
K2-136,0.6727,8.4632,-0.0531,0.6436,10,58.75,-0.02,ok,ok,True
HATS-63,0.9455,10.0,0.2082,352.9873,10,625.36,0.081,upper_boundary,high,False
K2-370,0.9455,0.0316,0.1102,31.6101,10,140.18,0.018,lower_boundary,high,False
TOI-2449,1.0,4.7197,-0.1184,1.9201,10,154.52,-0.03,ok,ok,True
WASP-159,1.2455,4.7197,0.0776,78.947,10,717.81,0.22,ok,high,False
TOI-270,0.3455,0.1017,-0.3143,0.5026,6,22.47,-0.17,ok,ok,True
